source_id,ll,bb,X_8.125,Y_8.125,X_8.50,Y_8.50,Vlsr
4253636177277985792,  27.65,  -0.79,   1.61,   5.05,   1.61,   5.43,  52.66
4256525350178701696,  26.88,   0.16,   1.36,   5.45,   1.36,   5.83,  52.56
4256639355778113792,  27.59,  -0.18,   1.34,   5.57,   1.34,   5.94,  67.69
4256643169709970560,  27.68,  -0.61,   1.96,   4.39,   1.96,   4.76,  45.24
4256924885213327232,  27.93,   0.24,   0.67,   6.86,   0.67,   7.23,  52.81
4258399085449439104,  29.38,  -0.38,   1.17,   6.05,   1.17,   6.42,  49.28
4258479044883946624,  28.83,  -0.11,   0.90,   6.48,   0.90,   6.86,  35.06
4258497633502713984,  28.88,   0.16,   0.99,   6.34,   0.99,   6.71,  45.99
4259732488137499776,  29.76,   1.84,   1.21,   6.01,   1.21,   6.38,  43.96
4259908543114712320,  30.81,   0.45,   1.09,   6.30,   1.09,   6.67,  39.82
4265179812407068544,  32.97,  -1.91,   1.69,   5.52,   1.69,   5.90,  53.23
4266115634195891968,  32.17,   0.05,   1.56,   5.65,   1.56,   6.02,  24.57
4266264716755603840,  32.85,  -0.00,   1.58,   5.68,   1.58,   6.05,  62.25
4266265236511559168,  32.89,  -0.02,   1.39,   5.98,   1.39,   6.35,  35.74
4266622440300416512,  33.73,  -0.79,   1.42,   6.00,   1.42,   6.38,  69.22
4267576472807504000,  35.92,  -2.30,   0.66,   7.22,   0.66,   7.59,  17.19
4268439172803319936,  36.42,  -2.24,   1.39,   6.24,   1.39,   6.62,  52.73
4281595246038337792,  37.88,   0.58,   1.11,   6.70,   1.11,   7.07,  42.32
4291204840262233344,  42.22,  -6.92,   0.72,   7.33,   0.72,   7.71,  13.25
4305547350950835328,  39.62,  -1.13,   1.78,   5.97,   1.78,   6.35,  46.39
4306130641889859584,  41.44,  -1.56,   2.47,   5.33,   2.47,   5.71,  62.28
4310268241564751616,  40.69,   2.98,   1.62,   6.25,   1.62,   6.62,  32.44
4312263301105951488,  44.10,   0.90,   2.82,   5.21,   2.82,   5.59,  61.23
4316533533705137152,  49.03,  -1.78,   3.41,   5.16,   3.41,   5.54,  33.54
