synth-nextgen_2600+0 2600 10.154  8.046  7.105  6.814
synth-nextgen_2700+0 2700 10.194  8.133  7.148  6.846
synth-nextgen_2800+0 2800 10.212  8.208  7.181  6.862
synth-nextgen_2900+0 2900 10.233  8.278  7.231  6.898
synth-nextgen_3000+0 3000 10.246  8.329  7.287  6.945
synth-nextgen_3100+0 3100 10.241  8.343  7.331  6.990
synth-nextgen_3200+0 3200 10.206  8.325  7.357  7.025
synth-nextgen_3300+0 3300 10.149  8.294  7.369  7.051
synth-nextgen_3400+0 3400 10.091  8.263  7.380  7.076
synth-nextgen_3500+0 3500 10.034  8.235  7.389  7.101
synth-nextgen_3600+0 3600  9.980  8.211  7.399  7.125
synth-nextgen_3700+0 3700  9.925  8.187  7.406  7.147
synth-nextgen_3800+0 3800  9.870  8.163  7.412  7.167
synth-nextgen_3900+0 3900  9.817  8.140  7.419  7.187
synth-nextgen_4000+0 4000  9.768  8.117  7.429  7.210
synth-nextgen_4100+0 4100  9.725  8.095  7.440  7.235
synth-nextgen_4200+0 4200  9.687  8.075  7.452  7.260
synth-nextgen_4300+0 4300  9.650  8.058  7.464  7.286
synth-nextgen_4400+0 4400  9.610  8.039  7.473  7.307
synth-nextgen_4500+0 4500  9.566  8.017  7.476  7.323
