synth-nextgen_2600.t 2600 10.105  7.965  7.125  6.884
synth-nextgen_2700.t 2700 10.130  8.053  7.128  6.883
synth-nextgen_2800.t 2800 10.139  8.126  7.141  6.885
synth-nextgen_2900.t 2900 10.157  8.182  7.175  6.909
synth-nextgen_3000.t 3000 10.170  8.238  7.210  6.936
synth-nextgen_3100.t 3100 10.186  8.296  7.262  6.978
synth-nextgen_3200.t 3200 10.178  8.321  7.308  7.026
synth-nextgen_3300.t 3300 10.152  8.334  7.339  7.063
synth-nextgen_3400.t 3400 10.089  8.327  7.349  7.083
synth-nextgen_3500.t 3500 10.025  8.298  7.352  7.101
synth-nextgen_3600.t 3600  9.961  8.265  7.353  7.116
synth-nextgen_3700.t 3700  9.902  8.234  7.357  7.136
synth-nextgen_3800.t 3800  9.848  8.203  7.364  7.158
synth-nextgen_3900.t 3900  9.798  8.172  7.372  7.181
synth-nextgen_4000.t 4000  9.754  8.143  7.384  7.206
synth-nextgen_4100.t 4100  9.711  8.116  7.395  7.231
synth-nextgen_4200.t 4200  9.669  8.091  7.407  7.255
synth-nextgen_4300.t 4300  9.627  8.069  7.418  7.278
synth-nextgen_4400.t 4400  9.585  8.048  7.429  7.301
synth-nextgen_4500.t 4500  9.545  8.032  7.442  7.324
